1A,栃木県,さくら市、大田原市、那須烏山市、那須塩原市、那須郡那珂川町、那須郡那須町、矢板市、小山市、芳賀郡益子町、芳賀郡市貝町、芳賀郡芳賀町、芳賀郡茂木町、宇都宮市、真岡市、栃木市、下野市、塩谷郡高根沢町、河内郡上三川町,,,,,,,
1B,群馬県,みどり市、伊勢崎市、桐生市、佐波郡玉村町、前橋市、渋川市、利根郡昭和村,,,,,,,
1C,埼玉県,さいたま市西区、ふじみ野市、狭山市、志木市、所沢市、新座市、川越市、入間郡三芳町、入間市、富士見市、秩父郡皆野町、秩父郡小鹿野町、秩父市、大里郡寄居町、秩父郡東秩父村、秩父郡横瀬町、比企郡小川町、比企郡ときがわ町,,,,,,,
1C,東京都,東村山市,,,,,,,
1D,千葉県,安房郡鋸南町、鴨川市、館山市、君津市、市原市、袖ケ浦市、長生郡長南町、長生郡長柄町、南房総市、富津市、茂原市、木更津市、四街道市、いすみ市、佐倉市、山武郡大網白里町、千葉市稲毛区、千葉市花見川区、千葉市若葉区、千葉市中央区、千葉市美浜区、千葉市緑区、船橋市、長生 郡一宮町、長生郡長生村、長生郡白子町、長生郡睦沢町、東金市、八街市、八千代市、鎌ケ谷市、白井市,,,,,,,
1E,神奈川県,横須賀市、横浜市磯子区、横浜市栄区、横浜市金沢区、横浜市港南区、鎌倉市、逗子市、藤沢市、川崎市川崎区、愛甲郡愛川町、愛甲郡清川村、綾瀬市、伊勢原市、海老名市、茅ヶ崎市、厚木市、高座郡寒川町、座間市、相模原市中央区、相模原市南区、大和市、平塚市、横浜市戸塚区、横浜市泉区,,,,,,,
1E,静岡県,御殿場市、駿東郡小山町,,,,,,,
2A,栃木県,下都賀郡岩舟町、下都賀郡野木町、鹿沼市、小山市、栃木市,,,,,,,
2B,埼玉県,狭山市、坂戸市、川越市、鶴ヶ島市、日高市、入間郡越生町、入間郡毛呂山町、入間市、飯能市、比企郡ときがわ町、羽生市、桶川市、加須市、久喜市、熊谷市、幸手市、行田市、鴻巣市、上尾市、北本市、さいたま市浦和区、さいたま市岩槻区、さいたま市南区、さいたま市緑区、越谷市、春日部市、 川口市、南埼玉郡宮代町、南埼玉郡白岡町、北葛飾郡杉戸町、さいたま市大宮区、さいたま市中央区、吉川市、三郷市、草加市、北葛飾郡松伏町、蕨市,,,,,,,
2C,千葉県,佐倉市、習志野市、八千代市、市川市、松戸市、船橋市、千葉市花見川区、千葉市若葉区、千葉市美浜区,,,,,,,
2D,東京都,稲城市、狛江市、三鷹市、小金井市、多摩市、調布市、府中市、武蔵野市、日野市、八王子市、昭島市、国立市、町田市,,,,,,,
2D,神奈川県,相模原市中央区、相模原市緑区、川崎市麻生区、 茅ヶ崎市、高座郡寒川町、平塚市、横浜市旭区、横浜市瀬谷区、 横浜市泉区、横浜市都筑区、横浜市緑区、海老名市、大和市,,,,,,,
2E,山梨県,甲府市、西八代郡市川三郷町、中央市、笛吹市、南アルプス市、南巨摩郡富士川町,,,,,,,
2E,静岡県,三島市、御殿場市、裾野市、駿東郡長泉町、沼津市、熱海市、田方郡函南町、駿東郡清水町,,,,,,,
3A,栃木県,宇都宮市、塩谷郡塩谷町、下都賀郡壬生町、下野市、鹿沼市、上都賀郡西方町、栃木市、日光市、下都賀郡岩舟町、河内郡上三川町、佐野市、小山市、 真岡市、足利市,,,,,,,
3A,群馬県,館林市、太田市、邑楽郡千代田町、邑楽郡大泉町、邑楽郡邑楽町,,,,,,,
3B,埼玉県,志木市、新座市、朝霞市、和光市、さいたま市浦和区、さいたま市岩槻区、さいたま市見沼区、さいたま市大宮区、さいたま市中央区、さいたま市北区、さいたま市緑区、春日部市、北葛飾郡杉戸町、さいたま市桜区、さいたま市西区、羽生市、桶川市、行田市、鴻巣市、上尾市、北足立郡伊奈町、北本市、熊谷市、児玉郡上里町、児玉郡神川町、児玉郡美里町、深谷市、大里郡寄居町、東松山市、比企郡滑川町、比企郡吉見町、比企郡小川町、比企郡嵐山町、 本庄市、入間市、飯能市、所沢市,,,,,,,
3B,群馬県,伊勢崎市、太田市、邑楽郡大泉町,,,,,,,
